Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ICE,Intercontinental Exchange Inc,Common Stock,167.79,$94.20B,Financials,Capital Markets,Financial Exchanges & Data,NYSE
GLXY,Galaxy Digital Inc,Common Stock,19,$7.29B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
EVR,Evercore Inc,Common Stock,326.02,$12.87B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
MA,Mastercard Inc,Common Stock,507.12,$444.37B,Financials,Financial Services,Transaction & Payment Processing Services,NYSE
HOMB,Home Bancshares Inc,Common Stock,28.15,$5.54B,Financials,Banks,Regional Banks,NYSE
MFG,Mizuho Financial Group Inc,Depository Receipt,8.8,$100.59B,Financials,Banks,Diversified Banks,NYSE
IBKR,Interactive Brokers Group Inc,Common Stock,72.31,$115.54B,Financials,Capital Markets,Investment Banking & Brokerage,NASDAQ
SAN,Banco Santander SA,Depository Receipt,12.2,$167.63B,Financials,Banks,Diversified Banks,NYSE
MSCI,MSCI Inc,Common Stock,556.93,$40.02B,Financials,Capital Markets,Financial Exchanges & Data,NYSE
V,Visa Inc,Common Stock,308.96,$576.66B,Financials,Financial Services,Transaction & Payment Processing Services,NYSE
AGNC,AGNC Investment Corp,Common Stock (REIT),10.32,$11.33B,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,NASDAQ
CBC,Central Bancompany Inc,Common Stock,24.84,$5.82B,Financials,Banks,Regional Banks,NASDAQ
STWD,Starwood Property Trust Inc,Common Stock (REIT),17.58,$6.40B,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,NYSE
BSBR,Banco Santander Brasil SA,Depository Receipt,6.21,$22.80B,Financials,Banks,Diversified Banks,NYSE
BX,Blackstone Inc,Common Stock,117.67,$133.90B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
PRI,Primerica Inc,Common Stock,264.09,$8.05B,Financials,Insurance,Life & Health Insurance,NYSE
FAF,First American Financial Corp,Common Stock,63.39,$6.22B,Financials,Insurance,Property & Casualty Insurance,NYSE
KKR,KKR & Co Inc,Common Stock,93.96,$80.91B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
LPLA,LPL Financial Holdings Inc,Common Stock (REIT),310.79,$23.85B,Financials,Capital Markets,Investment Banking & Brokerage,NASDAQ
CPAY,Corpay Inc,Common Stock,303.92,$20.17B,Financials,Financial Services,Transaction & Payment Processing Services,NYSE
APO,Apollo Global Management Inc,Common Stock,107.05,$60.92B,Financials,Financial Services,Diversified Financial Services,NYSE
CG,Carlyle Group Inc (The),Common Stock,48.18,$16.98B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
VOYA,Voya Financial Inc,Common Stock,69.61,$6.29B,Financials,Financial Services,Diversified Financial Services,NYSE
RITM,Rithm Capital Corp,Common Stock (REIT),9.79,$5.28B,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,NYSE
OMF,OneMain Holdings Inc,Common Stock,56.01,$6.31B,Financials,Consumer Finance,Consumer Finance,NYSE
ESNT,Essent Group Ltd,Common Stock,61.15,$5.64B,Financials,Financial Services,Commercial & Residential Mortgage Finance,NYSE
ALLY,Ally Financial Inc,Common Stock,41.71,$12.41B,Financials,Consumer Finance,Consumer Finance,NYSE
ARES,Ares Management Corp,Common Stock,104.83,$33.69B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
SYF,Synchrony Financial,Common Stock,71.97,$23.93B,Financials,Consumer Finance,Consumer Finance,NYSE
CFG,Citizens Financial Group Inc,Common Stock,63.78,$26.18B,Financials,Banks,Regional Banks,NYSE
UBS,UBS Group AG,Common Stock,41.34,$123.62B,Financials,Capital Markets,Diversified Capital Markets,NYSE
VIRT,Virtu Financial Inc,Common Stock,48.94,$7.37B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
PYPL,PayPal Holdings Inc,Common Stock,45.85,$41.31B,Financials,Financial Services,Transaction & Payment Processing Services,NASDAQ
HLI,Houlihan Lokey Inc,Common Stock,147.84,$9.97B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
PJT,PJT Partners Inc,Common Stock,146.74,$5.59B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
XYZ,Block Inc,Common Stock,62.83,$35.93B,Financials,Financial Services,Transaction & Payment Processing Services,NYSE
KNSL,Kinsale Capital Group Inc,Common Stock,356.42,$7.99B,Financials,Insurance,Property & Casualty Insurance,NYSE
HLNE,Hamilton Lane Inc,Common Stock,97.11,$5.39B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
JHG,Janus Henderson Group PLC,Common Stock,51.6,$7.93B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
EQH,Equitable Holdings Inc,Common Stock,38.84,$10.62B,Financials,Financial Services,Diversified Financial Services,NYSE
WF,Woori Financial Group Inc,Depository Receipt,69.85,$16.20B,Financials,Banks,Diversified Banks,NYSE
FUTU,Futu Holdings Limited,Depository Receipt,157.14,$13.36B,Financials,Capital Markets,Investment Banking & Brokerage,NASDAQ
TW,Tradeweb Markets Inc,Common Stock,126.44,$26.58B,Financials,Capital Markets,Financial Exchanges & Data,NASDAQ
KSPI,Joint Stock Company Kaspi kz,Depository Receipt,76.4,$14.13B,Financials,Consumer Finance,Consumer Finance,NASDAQ
IFS,Intercorp Financial Services Inc,Common Stock,51.86,$5.58B,Financials,Banks,Diversified Banks,NYSE
OBDC,Blue Owl Capital Corp,Common Stock,10.75,$5.41B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
XP,XP Inc,Common Stock,19.79,$9.69B,Financials,Capital Markets,Investment Banking & Brokerage,NASDAQ
RKT,Rocket Cos Inc,Common Stock,15.2,$40.92B,Financials,Financial Services,Commercial & Residential Mortgage Finance,NYSE
STEP,StepStone Group Inc,Common Stock,48.54,$5.62B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
SOFI,SoFi Technologies Inc,Common Stock,16.49,$20.54B,Financials,Consumer Finance,Consumer Finance,NASDAQ
OWL,Blue Owl Capital Inc,Common Stock,8.32,$13.17B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
AFRM,Affirm Holdings Inc,Common Stock,49.81,$15.79B,Financials,Financial Services,Transaction & Payment Processing Services,NASDAQ
COIN,COINBASE GLOBAL INC,Common Stock,175.09,$46.26B,Financials,Capital Markets,Financial Exchanges & Data,NASDAQ
ACT,Enact Holdings Inc,Common Stock,42.29,$5.90B,Financials,Financial Services,Commercial & Residential Mortgage Finance,NASDAQ
RYAN,Ryan Specialty Holdings Inc,Common Stock,34.91,$8.85B,Financials,Insurance,Insurance Brokers,NYSE
HOOD,Robinhood Markets Inc,Common Stock,71.83,$62.71B,Financials,Capital Markets,Investment Banking & Brokerage,NASDAQ
JXN,Jackson Financial Inc,Common Stock,107.71,$7.27B,Financials,Financial Services,Diversified Financial Services,NYSE
TOST,Toast Inc,Common Stock,26.21,$15.30B,Financials,Financial Services,Transaction & Payment Processing Services,NYSE
BXSL,Blackstone Secured Lending Fund,Common Stock,23.11,$5.51B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
NU,Nu Holdings Ltd,Common Stock,14.51,$68.56B,Financials,Banks,Diversified Banks,NYSE
TPG,TPG Inc,Common Stock,38.26,$14.59B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
NWG,NatWest Group plc,Depository Receipt,16.41,$61.22B,Financials,Banks,Diversified Banks,NYSE
CRBG,Corebridge Financial Inc,Common Stock,24.9,$11.01B,Financials,Financial Services,Diversified Financial Services,NYSE
BAM,Brookfield Asset Management Ltd,Common Stock,45.26,$72.05B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
OTF,Blue Owl Technology Finance Corp,Common Stock,11.16,$5.13B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
CHYM,Chime Financial Inc,Common Stock,20.24,$7.35B,Financials,Financial Services,Transaction & Payment Processing Services,NASDAQ
BLSH,Bullish,Common Stock,38.63,$5.65B,Financials,Capital Markets,Financial Exchanges & Data,NYSE
FIGR,Figure Technology Solutions Inc,Common Stock,34.34,$6.63B,Financials,Consumer Finance,Consumer Finance,NASDAQ
PAYP,PayPay Corp,Depository Receipt,20.36,$13.61B,Financials,Financial Services,Transaction & Payment Processing Services,NASDAQ
