Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
FER,FERROVIAL SE,Common Stock,70.23,$48.38B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
BWXT,BWX Technologies Inc,Common Stock,231.78,$19.65B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
BAH,Booz Allen Hamilton Holding Corporation,Common Stock,81.6,$10.14B,Industrials,Professional Services,Research & Consulting Services,NYSE
HII,Huntington Ingalls Industries Inc,Common Stock,411.35,$15.84B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
AL,Air Lease Corp,Common Stock,65,$7.28B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
XYL,Xylem Inc,Common Stock,127.97,$29.93B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
ALSN,Allison Transmission Holdings Inc,Common Stock,125,$9.75B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
ZWS,Zurn Elkay Water Solutions Corp,Common Stock,47.61,$7.61B,Industrials,Building Products,Building Products,NYSE
CNH,CNH Industrial N V,Common Stock,11.43,$13.28B,Industrials,Machinery,Agricultural & Farm Machinery,NYSE
ALLE,Allegion PLC,Common Stock,144.49,$12.01B,Industrials,Building Products,Building Products,NYSE
AAL,American Airlines Group Inc,Common Stock,11.41,$7.14B,Industrials,Passenger Airlines,Passenger Airlines,NASDAQ
PCTY,Paylocity Holding Corp,Common Stock,102.42,$5.73B,Industrials,Professional Services,Human Resource & Employment Services,NASDAQ
PAYC,Paycom Software Inc,Common Stock,117.83,$5.91B,Industrials,Professional Services,Human Resource & Employment Services,NYSE
WMS,Advanced Drainage Systems Inc,Common Stock,147.42,$10.92B,Industrials,Building Products,Building Products,NYSE
FTAI,FTAI Aviation Ltd,Common Stock,259.63,$24.72B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
TRU,TransUnion,Common Stock,71.2,$13.27B,Industrials,Professional Services,Research & Consulting Services,NYSE
SITE,SiteOne Landscape Supply Inc,Common Stock,134.2,$5.75B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
FTV,Fortive Corp,Common Stock,59.38,$17.51B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
ZTO,ZTO Express (Cayman) Inc,Depository Receipt,24.56,$19.10B,Industrials,Air Freight & Logistics,Air Freight & Logistics,NYSE
IR,Ingersoll Rand Inc,Common Stock,84.67,$31.15B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
GTES,Gates Industrial Corporation plc,Common Stock,24.51,$5.72B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
NVT,nVent Electric plc,Common Stock,127.11,$19.23B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
ROAD,Construction Partners inc,Common Stock,114.98,$6.03B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
BE,Bloom Energy Corp,Common Stock,146.78,$38.13B,Industrials,Electrical Equipment,Heavy Electrical Equipment,NYSE
VRT,Vertiv Holdings Co,Common Stock,281.03,$100.36B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
REZI,Resideo Technologies Inc,Common Stock,36.6,$5.30B,Industrials,Building Products,Building Products,NYSE
ACA,Arcosa Inc,Common Stock,110.1,$5.21B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
LYFT,Lyft Inc,Common Stock,13.46,$5.48B,Industrials,Ground Transportation,Passenger Ground Transportation,NASDAQ
UBER,Uber Technologies Inc,Common Stock,72.38,$146.10B,Industrials,Ground Transportation,Passenger Ground Transportation,NYSE
PSN,Parsons Corp,Common Stock,58,$6.02B,Industrials,Professional Services,Research & Consulting Services,NYSE
GFL,GFL Environmental Inc,Common Stock,44.31,$15.97B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
OTIS,Otis Worldwide Corp,Common Stock,79.55,$30.25B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
CARR,Carrier Global Corp,Common Stock,58.29,$46.32B,Industrials,Building Products,Building Products,NYSE
APG,APi Group Corp,Common Stock,43.81,$18.14B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
JOBY,Joby Aviation Inc,Common Stock,8.63,$8.21B,Industrials,Passenger Airlines,Passenger Airlines,NYSE
RKLB,Rocket Lab Corp,Common Stock,69.08,$38.18B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
SYM,Symbotic Inc,Common Stock,54.55,$31.06B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NASDAQ
PL,Planet Labs PBC,Common Stock,36.55,$12.17B,Industrials,Professional Services,Research & Consulting Services,NYSE
BZ,Kanzhun Limited,Depository Receipt,13.49,$6.36B,Industrials,Professional Services,Human Resource & Employment Services,NASDAQ
YMM,Full Truck Alliance Co Ltd,Depository Receipt,8.34,$8.57B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
GXO,GXO Logistic Inc,Common Stock,56.68,$6.11B,Industrials,Air Freight & Logistics,Air Freight & Logistics,NYSE
CNM,Core & Main Inc,Common Stock,51.39,$9.81B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
BBUC,Brookfield Business Partners L.P,Common Stock,33.26,$6.79B,Industrials,Industrial Conglomerates,Industrial Conglomerates,NYSE
ESAB,ESAB Corp,Common Stock,102.95,$5.76B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
