Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
MAR,Marriott International Inc,Common Stock,348.58,$87.67B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ
MCD,McDonald's Corp,Common Stock,307.01,$216.57B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
MGA,Magna International Inc,Common Stock,57.3,$14.96B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NYSE
MHK,Mohawk Industries Inc.,Common Stock,100.98,$5.97B,Consumer Discretionary,Household Durables,Home Furnishings,NYSE
NKE,NIKE Inc,Common Stock,43.13,$63.22B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,NYSE
NVR,NVR Inc.,Common Stock,6755.5,$18.04B,Consumer Discretionary,Household Durables,Homebuilding,NYSE
ORLY,O'Reilly Automotive Inc,Common Stock,93.06,$76.44B,Consumer Discretionary,Specialty Retail,Automotive Retail,NASDAQ
BKNG,Booking Holdings Inc,Common Stock,181,$137.31B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ
FLUT,Flutter Entertainment PLC,Common Stock,109.51,$18.12B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
PHM,PulteGroup Inc,Common Stock,120.44,$22.05B,Consumer Discretionary,Household Durables,Homebuilding,NYSE
POOL,Pool Corp,Common Stock,209.45,$7.39B,Consumer Discretionary,Distributors,Distributors,NASDAQ
PSO,Pearson PLC,Depository Receipt,13.45,$8.22B,Consumer Discretionary,Diversified Consumer Services,Education Services,NYSE
RCL,Royal Caribbean Group,Common Stock,279.26,$72.42B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
RL,Ralph Lauren Corp,Common Stock,375.4,$21.16B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE
ROST,Ross Stores Inc,Common Stock,224.47,$69.74B,Consumer Discretionary,Specialty Retail,Apparel Retail,NASDAQ
SBUX,Starbucks Corp,Common Stock,97.21,$108.47B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NASDAQ
SCI,Service Corp International,Common Stock,83.46,$11.51B,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,NYSE
SONY,Sony Group Corporation,Depository Receipt,21.38,$123.28B,Consumer Discretionary,Household Durables,Consumer Electronics,NYSE
TJX,TJX Companies Inc (The),Common Stock,161.64,$174.41B,Consumer Discretionary,Specialty Retail,Apparel Retail,NYSE
TM,Toyota Motor Corp,Depository Receipt,215,$265.44B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
TOL,Toll Brothers Inc.,Common Stock,139.16,$12.60B,Consumer Discretionary,Household Durables,Homebuilding,NYSE
SGI,Somnigroup International Inc,Common Stock,77.37,$15.15B,Consumer Discretionary,Household Durables,Home Furnishings,NYSE
TSCO,Tractor Supply Co,Common Stock,45.28,$22.95B,Consumer Discretionary,Specialty Retail,Other Specialty Retail,NASDAQ
